provider_name_scraped,model_name_scraped,context_window,intelligence_index,response_time_s,tokens_per_s,source_url,last_updated_utc,is_free_source
Google (AI_Studio),Gemma 3 27B (AI_Studio),128000,38.0,10.98,48.2,,2025-06-24 16:33:06,true
Mistral,Mistral Large 2 (Nov '24),128000,38.0,11.01,47.5,,2025-06-24 16:33:06,true
Amazon Bedrock,Command-R+ (Apr '24),128000,20.0,11.06,47.2,,2025-06-24 16:33:06,true
Amazon Bedrock,Command-R+,128000,21.0,11.13,47.0,,2025-06-24 16:33:06,true
Microsoft Azure,Command-R (Mar '24),128000,15.0,11.34,46.2,,2025-06-24 16:33:06,true
OpenAI,GPT-4 Turbo,128000,N/A,11.52,47.5,,2025-06-24 16:33:06,true
Microsoft Azure,GPT-4 Turbo,128000,N/A,11.52,50.3,,2025-06-24 16:33:06,true
Deepinfra,Llama 3 70B,8000,27.0,11.58,44.2,,2025-06-24 16:33:06,true
Amazon Bedrock,Mistral Large (Feb '24),33000,26.0,11.66,44.4,,2025-06-24 16:33:06,true
Amazon Bedrock,Claude 3.5 Sonnet (June),200000,N/A,11.68,46.1,,2025-06-24 16:33:06,true
Reka AI,Reka Flash (Feb '24),128000,N/A,11.69,46.2,,2025-06-24 16:33:06,true
Deepinfra,OpenChat 3.5,8000,N/A,11.69,44.4,,2025-06-24 16:33:06,true
Amazon Bedrock,Claude 3.7 Sonnet,200000,48.0,11.77,47.2,,2025-06-24 16:33:06,true
Reka AI,Reka Flash,128000,N/A,11.81,45.9,,2025-06-24 16:33:06,true
Anthropic,Claude 4 Sonnet,200000,53.0,11.83,49.2,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen3 0.6B (Reasoning),33000,23.0,11.84,228.8,,2025-06-24 16:33:06,true
Anthropic,Claude 4 Opus,200000,58.0,11.93,54.0,,2025-06-24 16:33:06,true
Lambda,Qwen2.5 Coder 32B,33000,36.0,11.94,43.1,,2025-06-24 16:33:06,true
Hyperbolic,Llama 3.3 70B,128000,41.0,12.07,46.2,,2025-06-24 16:33:06,true
Together.ai,Qwen2 72B,33000,33.0,12.09,42.6,,2025-06-24 16:33:06,true
xAI Fast,Grok 3 mini Reasoning (low) Fast,131000,N/A,12.11,211.6,,2025-06-24 16:33:06,true
xAI,Grok 3 mini Reasoning (high),131000,67.0,12.29,209.4,,2025-06-24 16:33:06,true
xAI Fast,Grok 3 mini Reasoning (high) Fast,131000,67.0,12.33,210.4,,2025-06-24 16:33:06,true
Fireworks (Fast),DeepSeek R1 (Jan '25) (Fast),164000,60.0,12.34,242.9,,2025-06-24 16:33:06,true
OpenAI,o1-mini,128000,54.0,12.42,224.5,,2025-06-24 16:33:06,true
Deepinfra,Llama 4 Scout,131000,43.0,12.56,40.9,,2025-06-24 16:33:06,true
xAI,Grok 3 mini Reasoning (low),131000,N/A,12.89,198.9,,2025-06-24 16:33:06,true
Amazon Bedrock,Claude 3.5 Sonnet (Oct),200000,44.0,12.94,42.9,,2025-06-24 16:33:06,true
Amazon Bedrock,DeepSeek R1 (Jan '25),128000,60.0,13.01,225.1,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen2.5 Max,32000,45.0,13.03,42.9,,2025-06-24 16:33:06,true
Deepinfra,Llama 3.1 Nemotron 70B,128000,37.0,13.48,38.8,,2025-06-24 16:33:06,true
Deepinfra,DeepSeek V3 (Dec '24),64000,46.0,13.6,37.6,,2025-06-24 16:33:06,true
Deepinfra,Phi-4,16000,40.0,13.74,37.2,,2025-06-24 16:33:06,true
Deepinfra,Qwen2.5 72B,33000,40.0,13.99,36.9,,2025-06-24 16:33:06,true
Nebius Base,Llama 3.3 70B Base,128000,41.0,14.24,36.8,,2025-06-24 16:33:06,true
Microsoft Azure,Mistral Large 2 (Nov '24),128000,38.0,14.42,36.0,,2025-06-24 16:33:06,true
Together.ai Turbo,Llama 3.2 90B (Vision) Turbo,128000,33.0,14.63,35.2,,2025-06-24 16:33:06,true
Databricks,Llama 3.1 405B,128000,40.0,14.68,36.7,,2025-06-24 16:33:06,true
Microsoft Azure,Llama 3.3 70B,128000,41.0,14.81,34.8,,2025-06-24 16:33:06,true
Nebius,DeepSeek V3 (Dec '24),128000,46.0,15.0,34.7,,2025-06-24 16:33:06,true
Google (AI_Studio),Gemini 2.5 Flash (Reasoning) (AI_Studio),1000000,65.0,15.19,346.5,,2025-06-24 16:33:06,true
Together.ai,DeepSeek R1 Distill Qwen 14B,128000,49.0,15.2,168.5,,2025-06-24 16:33:06,true
"Deepinfra (Turbo, FP4)","DeepSeek R1 (Jan '25) (Turbo, FP4)",33000,60.0,15.26,190.1,,2025-06-24 16:33:06,true
Google Vertex,Llama 3.2 90B (Vision) Vertex,128000,33.0,15.34,33.0,,2025-06-24 16:33:06,true
Mistral,Mixtral 8x7B,33000,17.0,15.39,33.4,,2025-06-24 16:33:06,true
"Deepinfra (Turbo, FP8)","Llama 3.1 70B (Turbo, FP8)",128000,35.0,15.41,33.0,,2025-06-24 16:33:06,true
kluster.ai,Llama 3.3 70B,128000,41.0,15.49,33.2,,2025-06-24 16:33:06,true
MiniMax,MiniMax-Text-01,1000000,40.0,15.53,34.7,,2025-06-24 16:33:06,true
Lambda (FP8),Llama 3.1 405B (FP8),128000,40.0,15.64,32.7,,2025-06-24 16:33:06,true
Nebius Base,Llama 3.1 405B Base,128000,40.0,15.8,33.1,,2025-06-24 16:33:06,true
Amazon Bedrock,Mistral Large 2 (Jul '24),128000,37.0,16.07,32.0,,2025-06-24 16:33:06,true
Parasail (FP8),Qwen3 30B A3B (Reasoning) (FP8),41000,56.0,16.19,158.2,,2025-06-24 16:33:06,true
Nebius Fast,Qwen3 4B (Reasoning) Fast,33000,47.0,16.2,159.3,,2025-06-24 16:33:06,true
Microsoft Azure,Llama 3.1 405B,128000,40.0,16.34,31.5,,2025-06-24 16:33:06,true
Nebius Base,Llama 3.1 70B Base,128000,35.0,16.36,31.8,,2025-06-24 16:33:06,true
Microsoft Azure,o3-mini,200000,63.0,16.38,199.3,,2025-06-24 16:33:06,true
Fireworks,Qwen3 30B A3B (Reasoning),131000,56.0,16.39,156.7,,2025-06-24 16:33:06,true
Amazon Bedrock Standard,Llama 3.1 70B Standard,128000,35.0,16.43,31.7,,2025-06-24 16:33:06,true
Fireworks,QwQ-32B,131000,58.0,16.47,186.3,,2025-06-24 16:33:06,true
Nebius,DeepSeek V3 0324 (Mar '25),128000,53.0,16.79,31.0,,2025-06-24 16:33:06,true
Novita (FP8),Qwen3 30B A3B (Reasoning) (FP8),128000,56.0,16.84,155.7,,2025-06-24 16:33:06,true
Deepinfra,Gemma 3 27B,128000,38.0,17.1,30.4,,2025-06-24 16:33:06,true
Google Vertex,Llama 3.1 405B Vertex,128000,40.0,17.13,29.9,,2025-06-24 16:33:06,true
Anthropic,Claude 2.0,100000,N/A,17.19,31.0,,2025-06-24 16:33:06,true
Nebius,Qwen2.5 72B,131000,40.0,17.34,30.0,,2025-06-24 16:33:06,true
Microsoft Azure,Phi-4,16000,40.0,17.37,29.6,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen2 72B,131000,33.0,17.56,30.9,,2025-06-24 16:33:06,true
"Deepinfra (Turbo, FP8)","Llama 3.3 70B (Turbo, FP8)",128000,41.0,17.74,28.6,,2025-06-24 16:33:06,true
Hyperbolic,DeepSeek V3 0324 (Mar '25),128000,53.0,17.8,30.3,,2025-06-24 16:33:06,true
Novita,DeepSeek V3 0324 (Mar '25),128000,53.0,17.89,29.4,,2025-06-24 16:33:06,true
Microsoft Azure,Command-R+ (Apr '24),128000,20.0,18.01,28.8,,2025-06-24 16:33:06,true
Novita Turbo,DeepSeek V3 (Dec '24) Turbo,64000,46.0,18.04,29.3,,2025-06-24 16:33:06,true
OpenAI,o1,200000,62.0,18.09,202.1,,2025-06-24 16:33:06,true
Novita,DeepSeek V3 (Dec '24),64000,46.0,18.22,29.1,,2025-06-24 16:33:06,true
Amazon Bedrock,Claude 2.1,200000,24.0,18.6,29.5,,2025-06-24 16:33:06,true
Hyperbolic,Qwen2.5 72B,131000,40.0,18.75,28.7,,2025-06-24 16:33:06,true
Hyperbolic (FP8),DeepSeek V3 (Dec '24) (FP8),128000,46.0,18.87,28.8,,2025-06-24 16:33:06,true
Amazon Bedrock Standard,Llama 3.1 405B Standard,128000,40.0,18.97,29.2,,2025-06-24 16:33:06,true
Google (Vertex),Gemini 2.5 Flash (Reasoning) (Vertex),1000000,65.0,18.99,278.8,,2025-06-24 16:33:06,true
Deepinfra,Llama 3.1 405B,33000,40.0,19.03,27.3,,2025-06-24 16:33:06,true
Anthropic,Claude 3 Opus,200000,35.0,19.03,28.0,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen3 1.7B (Reasoning),33000,38.0,19.09,137.8,,2025-06-24 16:33:06,true
Anthropic,Claude 3.7 Sonnet Thinking,200000,57.0,19.14,88.4,,2025-06-24 16:33:06,true
Reka AI,Reka Core,128000,N/A,19.2,27.2,,2025-06-24 16:33:06,true
Deepinfra,DeepSeek R1 0528 (May '25),164000,68.0,19.82,127.8,,2025-06-24 16:33:06,true
Nebius Fast,Qwen3 30B A3B (Reasoning) Fast,33000,56.0,19.83,129.5,,2025-06-24 16:33:06,true
Amazon Bedrock,Claude 3 Opus,200000,35.0,19.92,26.7,,2025-06-24 16:33:06,true
Deepinfra,Gemma 2 9B,8000,22.0,20.27,25.7,,2025-06-24 16:33:06,true
DeepSeek,DeepSeek V3 0324 (Mar '25),64000,53.0,20.49,27.8,,2025-06-24 16:33:06,true
Deepinfra,DeepSeek V3 0324 (Mar '25),164000,53.0,20.49,24.8,,2025-06-24 16:33:06,true
Hyperbolic,DeepSeek R1 0528 (May '25),164000,68.0,20.54,127.2,,2025-06-24 16:33:06,true
Deepinfra,Llama 3.3 70B,128000,41.0,20.9,24.6,,2025-06-24 16:33:06,true
Parasail,DeepSeek R1 0528 (May '25),164000,68.0,22.16,115.1,,2025-06-24 16:33:06,true
Deepinfra,DeepSeek R1 (Jan '25),64000,60.0,22.33,129.1,,2025-06-24 16:33:06,true
OpenAI,GPT-4,8000,N/A,22.5,23.0,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen1.5 Chat 110B,32000,N/A,22.64,23.7,,2025-06-24 16:33:06,true
OpenAI,o1-preview,128000,N/A,22.74,148.8,,2025-06-24 16:33:06,true
OpenAI,o3-mini,200000,63.0,23.01,115.3,,2025-06-24 16:33:06,true
Together.ai,DeepSeek R1 Distill Llama 70B,128000,48.0,23.18,109.8,,2025-06-24 16:33:06,true
Nebius Base,Qwen3 30B A3B (Reasoning) Base,33000,56.0,23.24,110.1,,2025-06-24 16:33:06,true
Deepinfra,Gemma 3 12B,128000,34.0,23.37,22.0,,2025-06-24 16:33:06,true
SambaNova,DeepSeek R1 0528 (May '25),33000,68.0,23.4,132.2,,2025-06-24 16:33:06,true
kluster.ai,DeepSeek V3 0324 (Mar '25),164000,53.0,23.57,22.0,,2025-06-24 16:33:06,true
Deepinfra (FP8),Qwen3 30B A3B (Reasoning) (FP8),41000,56.0,23.7,107.8,,2025-06-24 16:33:06,true
OpenAI,o3,128000,70.0,23.85,142.0,,2025-06-24 16:33:06,true
Microsoft Azure,Phi-4 Multimodal,128000,27.0,24.58,20.6,,2025-06-24 16:33:06,true
Fireworks,Qwen3 235B (Reasoning),128000,62.0,24.62,103.6,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen3 4B (Reasoning),131000,47.0,24.88,104.7,,2025-06-24 16:33:06,true
Google Vertex,Claude 3 Opus Vertex,200000,35.0,25.17,22.1,,2025-06-24 16:33:06,true
Amazon Bedrock,Claude 3.7 Sonnet Thinking,200000,57.0,25.82,66.2,,2025-06-24 16:33:06,true
Microsoft Azure,o1-preview,128000,N/A,26.25,136.3,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen3 8B (Reasoning),131000,51.0,26.37,98.8,,2025-06-24 16:33:06,true
Google (AI Studio),Gemini 2.0 Pro Experimental (AI Studio),2000000,49.0,26.67,50.8,,2025-06-24 16:33:06,true
Replicate,Llama 3.1 405B,128000,40.0,27.07,19.2,,2025-06-24 16:33:06,true
Microsoft Azure,Llama 3 70B,8000,27.0,27.16,18.9,,2025-06-24 16:33:06,true
Hyperbolic,Llama 3 70B,8000,27.0,27.83,19.0,,2025-06-24 16:33:06,true
Novita,Llama 3 70B,8000,27.0,28.12,18.6,,2025-06-24 16:33:06,true
CentML,DeepSeek R1 0528 (May '25),131000,68.0,28.14,90.5,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen3 30B A3B (Reasoning),131000,56.0,28.33,92.1,,2025-06-24 16:33:06,true
Perplexity,Sonar Reasoning,127000,N/A,29.06,88.0,,2025-06-24 16:33:06,true
Nebius Base,Qwen3 14B (Reasoning) Base,33000,56.0,29.29,86.9,,2025-06-24 16:33:06,true
Together.ai,QwQ 32B-Preview,33000,43.0,30.38,84.2,,2025-06-24 16:33:06,true
FriendliAI,DeepSeek R1 (Jan '25),128000,60.0,30.52,94.7,,2025-06-24 16:33:06,true
Microsoft Azure,o1,200000,62.0,30.59,115.7,,2025-06-24 16:33:06,true
GMI,DeepSeek R1 Distill Qwen 14B,131000,49.0,30.75,83.0,,2025-06-24 16:33:06,true
Hyperbolic,DeepSeek R1 (Jan '25),128000,60.0,30.85,95.3,,2025-06-24 16:33:06,true
Together.ai,DeepSeek R1 0528 (May '25),128000,68.0,31.86,80.4,,2025-06-24 16:33:06,true
Amazon Bedrock,Claude 4 Opus,200000,58.0,33.97,19.4,,2025-06-24 16:33:06,true
Deepinfra (FP8),Qwen3 14B (Reasoning) (FP8),128000,56.0,34.37,73.2,,2025-06-24 16:33:06,true
Nebius Fast,DeepSeek R1 (Jan '25) Fast,128000,60.0,34.58,83.9,,2025-06-24 16:33:06,true
Google Vertex,Gemini 2.5 Pro (May' 25) Vertex,1000000,68.0,34.64,160.6,,2025-06-24 16:33:06,true
Google Vertex,Claude 4 Sonnet Thinking Vertex,200000,61.0,35.78,72.3,,2025-06-24 16:33:06,true
Together.ai,QwQ-32B,131000,58.0,35.89,84.5,,2025-06-24 16:33:06,true
Together.ai,DeepSeek R1 (Jan '25),128000,60.0,35.94,81.0,,2025-06-24 16:33:06,true
Fireworks (Base),DeepSeek R1 (Jan '25) (Base),164000,60.0,36.01,80.2,,2025-06-24 16:33:06,true
CentML,QwQ-32B,131000,58.0,36.65,82.4,,2025-06-24 16:33:06,true
Anthropic,Claude 2.1,200000,24.0,36.98,13.9,,2025-06-24 16:33:06,true
Novita (FP8),Qwen3 4B (Reasoning) (FP8),128000,47.0,37.01,69.0,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen3 235B (Reasoning),131000,62.0,37.22,69.6,,2025-06-24 16:33:06,true
Nebius Fast,QwQ-32B Fast,131000,58.0,37.36,81.3,,2025-06-24 16:33:06,true
Microsoft Azure,o3-mini (high),200000,66.0,37.81,228.0,,2025-06-24 16:33:06,true
Parasail (FP8),Qwen3 235B (Reasoning) (FP8),41000,62.0,38.45,65.7,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen3 14B (Reasoning),131000,56.0,39.15,65.6,,2025-06-24 16:33:06,true
Novita,DeepSeek R1 0528 Qwen3 8B,128000,52.0,39.28,64.9,,2025-06-24 16:33:06,true
Lambda,DeepSeek R1 Distill Llama 70B,128000,48.0,39.28,64.2,,2025-06-24 16:33:06,true
Google (AI_Studio),Gemini 2.5 Pro (Jun '25) (AI_Studio),1000000,70.0,39.56,140.6,,2025-06-24 16:33:06,true
Google (AI Studio),Gemini 2.5 Pro (May' 25) (AI Studio),1000000,68.0,39.68,155.5,,2025-06-24 16:33:06,true
GMI,Qwen3 235B (Reasoning),41000,62.0,40.49,62.6,,2025-06-24 16:33:06,true
Parasail,DeepSeek R1 0528 Qwen3 8B,131000,52.0,41.79,60.4,,2025-06-24 16:33:06,true
Deepinfra,Llama 3.1 70B,128000,35.0,41.89,12.1,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen3 32B (Reasoning),131000,59.0,42.29,60.8,,2025-06-24 16:33:06,true
Google,Gemini 2.5 Pro (Mar '25),1000000,69.0,42.76,152.2,,2025-06-24 16:33:06,true
Nebius Base,DeepSeek R1 Distill Llama 70B Base,128000,48.0,43.11,58.8,,2025-06-24 16:33:06,true
GMI,DeepSeek R1 0528 (May '25),131000,68.0,43.71,58.0,,2025-06-24 16:33:06,true
Parasail (FP8),Qwen3 32B (Reasoning) (FP8),41000,59.0,43.78,57.8,,2025-06-24 16:33:06,true
CentML,DeepSeek V3 0324 (Mar '25),164000,53.0,44.22,11.5,,2025-06-24 16:33:06,true
Reka AI,Reka Flash 3,128000,47.0,44.57,57.3,,2025-06-24 16:33:06,true
Novita,DeepSeek R1 Distill Llama 8B,32000,34.0,44.93,56.5,,2025-06-24 16:33:06,true
Deepinfra,Llama 3.2 90B (Vision),33000,33.0,45.71,11.0,,2025-06-24 16:33:06,true
Google Vertex,Claude 4 Opus Thinking Vertex,200000,64.0,46.22,56.2,,2025-06-24 16:33:06,true
OpenAI,o4-mini (high),200000,70.0,46.27,153.4,,2025-06-24 16:33:06,true
Anthropic,Claude 4 Opus Thinking,200000,64.0,46.37,57.4,,2025-06-24 16:33:06,true
Deepinfra (FP8),Qwen3 32B (Reasoning) (FP8),41000,59.0,47.83,52.9,,2025-06-24 16:33:06,true
GMI (FP8),Qwen3 32B (Reasoning) (FP8),33000,59.0,47.92,52.9,,2025-06-24 16:33:06,true
Anthropic,Claude 4 Sonnet Thinking,200000,61.0,49.18,52.4,,2025-06-24 16:33:06,true
Deepinfra,DeepSeek R1 Distill Qwen 32B,128000,52.0,49.89,50.4,,2025-06-24 16:33:06,true
Novita (FP8),Qwen3 8B (Reasoning) (FP8),128000,51.0,49.98,50.9,,2025-06-24 16:33:06,true
Deepinfra,QwQ 32B-Preview,33000,43.0,50.48,49.8,,2025-06-24 16:33:06,true
Microsoft Azure,o4-mini (high),200000,70.0,50.91,131.3,,2025-06-24 16:33:06,true
OpenAI,o3-mini (high),200000,66.0,54.01,121.0,,2025-06-24 16:33:06,true
Nebius Base,Qwen3 235B (Reasoning) Base,33000,62.0,54.95,46.0,,2025-06-24 16:33:06,true
Nebius Base,Qwen3 32B (Reasoning) Base,33000,59.0,55.02,45.9,,2025-06-24 16:33:06,true
MiniMax,MiniMax M1 40k,1000000,61.0,55.76,46.0,,2025-06-24 16:33:06,true
Novita,DeepSeek R1 Distill Qwen 14B,64000,49.0,55.97,45.4,,2025-06-24 16:33:06,true
Novita (FP8),Qwen3 32B (Reasoning) (FP8),128000,59.0,58.85,43.3,,2025-06-24 16:33:06,true
Deepinfra,QwQ-32B,131000,58.0,58.94,51.0,,2025-06-24 16:33:06,true
Nebius Base,Llama Nemotron Ultra Reasoning Base,131000,61.0,59.3,42.6,,2025-06-24 16:33:06,true
Lambda,DeepSeek R1 0528 (May '25),164000,68.0,64.56,38.9,,2025-06-24 16:33:06,true
kluster.ai (FP8),Qwen3 235B (Reasoning) (FP8),41000,62.0,66.03,38.1,,2025-06-24 16:33:06,true
Nebius,DeepSeek R1 0528 (May '25),164000,68.0,67.59,37.3,,2025-06-24 16:33:06,true
Amazon Bedrock,Claude 4 Sonnet Thinking,200000,61.0,67.77,37.5,,2025-06-24 16:33:06,true
Microsoft Azure,DeepSeek R1 0528 (May '25),128000,68.0,68.2,37.0,,2025-06-24 16:33:06,true
kluster.ai,DeepSeek R1 0528 (May '25),164000,68.0,69.73,36.1,,2025-06-24 16:33:06,true
GMI,DeepSeek R1 Distill Llama 70B,24000,48.0,70.36,35.9,,2025-06-24 16:33:06,true
Microsoft Azure,DeepSeek R1 (Jan '25),128000,60.0,74.27,38.7,,2025-06-24 16:33:06,true
Novita,DeepSeek R1 0528 (May '25),128000,68.0,74.58,33.9,,2025-06-24 16:33:06,true
Together.ai (FP8),Qwen3 235B (Reasoning) (FP8),41000,62.0,74.65,33.6,,2025-06-24 16:33:06,true
Lambda,DeepSeek R1 (Jan '25),164000,60.0,74.85,38.2,,2025-06-24 16:33:06,true
Hyperbolic,QwQ-32B,131000,58.0,75.33,40.2,,2025-06-24 16:33:06,true
Deepinfra,DeepSeek R1 Distill Llama 70B,128000,48.0,76.76,32.8,,2025-06-24 16:33:06,true
Deepinfra (FP8),Qwen3 235B (Reasoning) (FP8),41000,62.0,79.25,31.7,,2025-06-24 16:33:06,true
Novita,DeepSeek R1 Distill Llama 70B,32000,48.0,79.54,31.7,,2025-06-24 16:33:06,true
kluster.ai,DeepSeek R1 (Jan '25),128000,60.0,81.08,35.4,,2025-06-24 16:33:06,true
Novita (FP8),Qwen3 235B (Reasoning) (FP8),128000,62.0,84.85,29.7,,2025-06-24 16:33:06,true
Nebius Base,DeepSeek R1 (Jan '25) Base,128000,60.0,86.0,33.3,,2025-06-24 16:33:06,true
Novita Turbo,DeepSeek R1 (Jan '25) Turbo,64000,60.0,87.97,32.6,,2025-06-24 16:33:06,true
Novita,DeepSeek R1 (Jan '25),64000,60.0,88.26,32.5,,2025-06-24 16:33:06,true
Microsoft Azure,o3,128000,70.0,88.96,50.4,,2025-06-24 16:33:06,true
DeepSeek,DeepSeek R1 0528 (May '25),64000,68.0,92.59,27.8,,2025-06-24 16:33:06,true
Nebius Base,QwQ-32B Base,131000,58.0,112.1,26.8,,2025-06-24 16:33:06,true
Novita,DeepSeek R1 Distill Qwen 32B,64000,52.0,119.48,21.2,,2025-06-24 16:33:06,true
OpenAI,o3-pro,200000,N/A,153.7,20.7,,2025-06-24 16:33:06,true
Amazon Bedrock,Claude 4 Opus Thinking,200000,64.0,176.31,14.9,,2025-06-24 16:33:06,true
