provider_name_scraped,model_name_scraped,context_window,intelligence_index,response_time_s,tokens_per_s,source_url,last_updated_utc,is_free_source
Lambda (FP8),Llama 4 Maverick (FP8),1000000,51.0,3.14,169.8,,2025-06-24 16:33:06,true
Nebius Fast,Llama 3.1 8B Fast,128000,24.0,3.16,186.0,,2025-06-24 16:33:06,true
OpenAI,GPT-4o (March 2025),128000,50.0,3.23,182.1,,2025-06-24 16:33:06,true
Lambda,LFM 40B,32000,22.0,3.24,162.1,,2025-06-24 16:33:06,true
Together.ai Turbo,Llama 3.1 70B Turbo,128000,35.0,3.31,168.2,,2025-06-24 16:33:06,true
Cohere,Command-R (Mar '24),128000,15.0,3.32,157.8,,2025-06-24 16:33:06,true
Mistral,Codestral (Jan '25),256000,28.0,3.32,163.7,,2025-06-24 16:33:06,true
Fireworks (Base),Llama 4 Maverick (Base),1000000,51.0,3.36,170.3,,2025-06-24 16:33:06,true
Mistral,Ministral 8B,128000,22.0,3.37,161.0,,2025-06-24 16:33:06,true
Mistral,Mistral Small 3,32000,35.0,3.37,161.5,,2025-06-24 16:33:06,true
Snowflake Snowflake,Llama 3.3 70B Snowflake,8000,41.0,3.39,171.9,,2025-06-24 16:33:06,true
Amazon Bedrock,Nova Pro,300000,37.0,3.46,161.7,,2025-06-24 16:33:06,true
Cohere,Command A,256000,40.0,3.48,152.8,,2025-06-24 16:33:06,true
Together.ai Turbo,Llama 3.2 3B Turbo,128000,20.0,3.48,157.7,,2025-06-24 16:33:06,true
Fireworks (Base),Llama 4 Scout (Base),1000000,43.0,3.49,164.5,,2025-06-24 16:33:06,true
Google Vertex,Codestral (Jan '25) Vertex,128000,28.0,3.51,148.0,,2025-06-24 16:33:06,true
OpenAI,GPT-4o (Nov '24),128000,41.0,3.51,159.8,,2025-06-24 16:33:06,true
Mistral,Codestral (May '24),33000,20.0,3.53,154.3,,2025-06-24 16:33:06,true
Microsoft Azure (FP8),Llama 4 Maverick (FP8),128000,51.0,3.54,156.2,,2025-06-24 16:33:06,true
Microsoft Azure,GPT-4.1,1000000,53.0,3.56,207.0,,2025-06-24 16:33:06,true
kluster.ai (FP8),Llama 4 Maverick (FP8),1000000,51.0,3.57,159.9,,2025-06-24 16:33:06,true
Fireworks,Llama 3.1 70B,128000,35.0,3.59,154.3,,2025-06-24 16:33:06,true
Amazon Bedrock,Llama 4 Scout,128000,43.0,3.62,159.9,,2025-06-24 16:33:06,true
Mistral,Mistral Small (Feb '24),33000,23.0,3.63,148.2,,2025-06-24 16:33:06,true
Parasail (FP8),Mistral NeMo (FP8),131000,20.0,3.68,149.2,,2025-06-24 16:33:06,true
SambaNova,Llama 3.1 405B,16000,40.0,3.68,167.0,,2025-06-24 16:33:06,true
Nebius Fast,Llama 3.3 70B Fast,128000,41.0,3.69,158.3,,2025-06-24 16:33:06,true
Parasail,Llama 3.1 405B,131000,40.0,3.7,167.0,,2025-06-24 16:33:06,true
Fireworks,Llama 3.3 70B,128000,41.0,3.72,147.5,,2025-06-24 16:33:06,true
Mistral,Mistral NeMo,128000,20.0,3.73,144.5,,2025-06-24 16:33:06,true
GMI,DeepSeek V3 0324 (Mar '25),131000,53.0,3.76,163.8,,2025-06-24 16:33:06,true
Mistral,Devstral,256000,34.0,3.82,141.8,,2025-06-24 16:33:06,true
Amazon Bedrock Latency Optimized,Llama 3.1 70B Latency Optimized,128000,35.0,3.85,141.7,,2025-06-24 16:33:06,true
CentML,Llama 3.3 70B,128000,41.0,3.87,143.9,,2025-06-24 16:33:06,true
OpenAI,GPT-4.1 nano,1000000,41.0,3.93,137.9,,2025-06-24 16:33:06,true
Perplexity,Sonar,127000,43.0,4.01,156.7,,2025-06-24 16:33:06,true
Microsoft Azure,Llama 4 Scout,128000,43.0,4.02,135.3,,2025-06-24 16:33:06,true
Groq,Qwen3 32B (Reasoning),131000,59.0,4.09,643.3,,2025-06-24 16:33:06,true
Microsoft Azure,GPT-4.1 mini,1000000,53.0,4.1,144.9,,2025-06-24 16:33:06,true
Google Vertex,Llama 4 Scout Vertex,1000000,43.0,4.1,132.6,,2025-06-24 16:33:06,true
Perplexity,Sonar Pro,200000,43.0,4.13,158.0,,2025-06-24 16:33:06,true
GMI,Llama 4 Scout,1000000,43.0,4.17,134.1,,2025-06-24 16:33:06,true
Replicate,Llama 2 Chat 7B,4000,8.0,4.24,130.6,,2025-06-24 16:33:06,true
Cohere,Aya Expanse 32B,128000,20.0,4.28,121.5,,2025-06-24 16:33:06,true
Google Vertex,Llama 3.1 8B Vertex,128000,24.0,4.3,120.8,,2025-06-24 16:33:06,true
Google Vertex,Llama 4 Maverick Vertex,524000,51.0,4.33,124.5,,2025-06-24 16:33:06,true
Amazon Bedrock,Llama 3.2 1B,128000,10.0,4.33,128.9,,2025-06-24 16:33:06,true
Parasail (FP8),Llama 4 Scout (FP8),158000,43.0,4.33,127.1,,2025-06-24 16:33:06,true
Lambda,Llama 3.1 8B,128000,24.0,4.36,121.1,,2025-06-24 16:33:06,true
CentML (FP8),Llama 4 Maverick (FP8),1000000,51.0,4.38,120.6,,2025-06-24 16:33:06,true
Mistral,Mistral Small 3.1,128000,35.0,4.39,121.2,,2025-06-24 16:33:06,true
Anthropic,Claude 3 Haiku,200000,N/A,4.45,138.6,,2025-06-24 16:33:06,true
kluster.ai,Llama 3.1 8B,128000,24.0,4.47,119.8,,2025-06-24 16:33:06,true
Simplismart,Llama 3.1 70B,128000,35.0,4.48,126.0,,2025-06-24 16:33:06,true
Microsoft Azure,GPT-4o (May '24),128000,41.0,4.5,131.6,,2025-06-24 16:33:06,true
Hyperbolic,Llama 3.1 70B,128000,35.0,4.53,137.5,,2025-06-24 16:33:06,true
Deepinfra,Llama 3.2 3B,128000,20.0,4.54,114.7,,2025-06-24 16:33:06,true
Deepinfra,Llama 3 8B,8000,21.0,4.56,115.0,,2025-06-24 16:33:06,true
Lambda,Llama 4 Scout,1000000,43.0,4.58,114.8,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen3 1.7B,33000,25.0,4.59,141.0,,2025-06-24 16:33:06,true
Microsoft Azure,GPT-4o (Aug '24),128000,N/A,4.63,127.3,,2025-06-24 16:33:06,true
CentML,Llama 4 Scout,1000000,43.0,4.65,114.2,,2025-06-24 16:33:06,true
Together.ai Turbo,Qwen2.5 72B Turbo,131000,40.0,4.71,114.2,,2025-06-24 16:33:06,true
Together.ai,Llama 4 Scout,328000,43.0,4.71,118.1,,2025-06-24 16:33:06,true
OpenAI,GPT-3.5 Turbo,4000,N/A,4.76,113.3,,2025-06-24 16:33:06,true
Nebius,Phi-4,16000,40.0,4.76,118.3,,2025-06-24 16:33:06,true
Together.ai,Llama 4 Maverick,524000,51.0,4.76,110.3,,2025-06-24 16:33:06,true
Parasail (FP8),Llama 3.3 70B (FP8),131000,41.0,4.76,115.5,,2025-06-24 16:33:06,true
